CUSTOMER,NUMBER_OF_LATE_PAYMENTS,NUMBER_OF_CREDIT_APPLICATIONS,DECLARED_BANKRUPTCY_IN_PAST_7_YRS,AVERAGE_MONTHLY_FEE,CREDIT_SCORE,SATISFACTION,DEFAULT_DATA,AVERAGE_CASH_BALANCE,AGE,AGE_RANGE,GENDER,NUMBER_OF_PRODUCTS,CUST_ACQUISITION_YEAR,NO_OF_UNIQUE_PRODUCTS,NO_OF_UNIQUE_PRODUCTS_GROUPED,EQUITIES_BALANCE,INITIAL_MORTGAGE_AMT,ADDRESS_CHANGES,HOUSEHOLD,CLIENTS_IN_HOUSEHOLD,AVERAGE_CREDIT_CARD_BALANCE,CUSTOMER_TYPE,HOME_BRANCH_CITY,HOME_BRANCH_STATE,SALESPERSON,CHURN,COUNT,BANKID
UX5107,11,1,No,77,431,4,0,25K,32,30-39,Female,1,2012,22,21 to 30,8000,300K+,0,4107,1,15000,Personal,Raleigh/Durham NC,North Carolina,UX18,no,1,K
UX5108,0,25,No,112,544,4,1,1K,32,30-39,Female,1,2007,9,1 to 10,11000,300K+,2,4108,2,6000,Personal,Charlotte NC,North Carolina,UX14,yes,1,K
UX5109,38,33,No,68,431,4,0,1K,53,50-59,Male,1,2004,23,21 to 30,4000,300K+,0,4109,1,11000,Personal,Raleigh/Durham NC,North Carolina,UX10,yes,1,K
UX5110,0,0,No,71,431,5,1,25K,35,30-39,Female,1,2008,7,1 to 10,27000,300K+,2,4110,2,10500,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5111,123,102,No,89,544,2,0,1K,21,20-29,Female,1,2008,12,11 to 20,44000,300K+,1,4111,1,2000,Personal,Charlotte NC,North Carolina,UX21,yes,1,K
UX5112,0,0,No,65,431,4,0,1K,49,40-49,Male,1,2004,5,1 to 10,7000,300K+,1,4112,1,10500,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5113,0,6,No,101,544,4,0,25K,31,30-39,Male,1,2003,5,1 to 10,11000,300K+,2,4113,2,0,Personal,Charlotte NC,North Carolina,UX14,yes,1,K
UX5114,0,0,No,70,431,4,1,1K,59,50-59,Male,1,2012,6,1 to 10,1000,300K+,1,4114,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX16,no,1,K
UX5115,0,0,No,74,431,5,0,1K,57,50-59,Male,1,2006,11,11 to 20,5000,300K+,0,4115,1,14000,Personal,Raleigh/Durham NC,North Carolina,UX10,no,1,K
UX5116,7,0,No,69,431,5,1,25K,61,60-69,Male,2,2003,27,21 to 30,1000,300K+,0,4116,1,10500,Personal,Raleigh/Durham NC,North Carolina,UX13,no,1,K
UX5117,0,0,No,79,544,4,0,25K,32,30-39,Female,1,2012,8,1 to 10,45000,300K+,2,4117,2,9200,Personal,Charlotte NC,North Carolina,UX21,no,1,K
UX5118,0,0,No,80,431,2,0,1K,62,60-69,Female,1,2012,33,31 to 40,1000,300K+,0,4118,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX13,no,1,K
UX5119,0,0,No,89,544,4,0,1K,37,30-39,Male,2,2008,44,41 to 50,6000,300K+,0,4119,1,10000,Personal,Charlotte NC,North Carolina,UX21,no,1,K
UX5120,0,2,No,82,427,4,0,1K,29,20-29,Male,1,2006,18,11 to 20,8000,300K+,2,4120,2,8000,Personal,Raleigh/Durham NC,North Carolina,UX19,no,1,K
UX5121,0,32,No,72,431,5,1,1K,35,30-39,Male,2,2010,14,11 to 20,13000,300K+,3,4121,3,13500,Personal,Raleigh/Durham NC,North Carolina,UX10,yes,1,K
UX5122,17,12,No,66,431,4,1,1K,34,30-39,Female,2,2003,31,31 to 40,8000,300K+,0,4122,1,2000,Personal,Raleigh/Durham NC,North Carolina,UX10,yes,1,K
UX5123,0,0,No,66,431,5,0,5K,39,30-39,Male,1,2009,12,11 to 20,17000,300K+,3,4123,3,7500,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5124,105,169,No,120,544,4,0,25K,53,50-59,Female,1,2009,27,21 to 30,7000,300K+,0,4124,1,3900,Personal,Charlotte NC,North Carolina,UX14,yes,1,K
UX5125,0,0,No,62,431,2,1,1K,71,70-79,Male,1,2011,13,11 to 20,4000,300K+,0,4125,1,3000,Personal,Raleigh/Durham NC,North Carolina,UX18,no,1,K
UX5126,0,7,No,64,431,4,1,10K,37,30-39,Female,2,2003,7,1 to 10,4000,300K+,0,4126,1,10500,Personal,Raleigh/Durham NC,North Carolina,UX17,yes,1,K
UX5127,0,14,No,73,431,3,1,1K,62,60-69,Female,1,2004,8,1 to 10,2000,300K+,0,4127,1,2500,Personal,Raleigh/Durham NC,North Carolina,UX12,yes,1,K
UX5128,0,0,No,70,427,3,1,1K,40,40-49,Female,1,2003,6,1 to 10,14000,300K+,2,4128,2,6000,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5129,8,0,No,72,427,3,1,25K,33,30-39,Female,1,2003,8,1 to 10,20000,300K+,2,4129,2,4500,Personal,Raleigh/Durham NC,North Carolina,UX19,no,1,K
UX5130,0,0,No,72,431,4,0,25K,41,40-49,Female,2,2011,3,1 to 10,37000,300K+,2,4130,2,4500,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5131,2,12,No,72,431,5,1,5K,43,40-49,Male,0,2008,2,1 to 10,98000,300K+,2,4131,2,0,Personal,Raleigh/Durham NC,North Carolina,UX12,yes,1,K
UX5132,0,0,No,68,431,5,0,1K,49,40-49,Male,1,2003,36,31 to 40,2000,300K+,0,4132,1,32000,Personal,Raleigh/Durham NC,North Carolina,UX13,no,1,K
UX5133,0,0,No,74,431,4,0,1K,56,50-59,Female,2,2008,6,1 to 10,9000,300K+,0,4133,1,5000,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5134,0,0,No,88,544,2,0,1K,51,50-59,Male,1,2010,52,51 to 60,8000,300K+,2,4134,2,3000,Personal,Charlotte NC,North Carolina,UX9,no,1,K
UX5135,0,0,No,67,431,3,0,1K,16,0-19,Male,2,2009,13,11 to 20,5000,300K+,1,4135,1,3500,Personal,Raleigh/Durham NC,North Carolina,UX18,no,1,K
UX5136,0,16,No,81,431,3,0,25K,62,60-69,Female,1,2004,19,11 to 20,7000,300K+,0,4136,1,2000,Personal,Raleigh/Durham NC,North Carolina,UX21,yes,1,K
UX5137,0,0,No,99,544,2,1,1K,74,70-79,Male,1,2006,36,31 to 40,1000,300K+,0,4137,1,2000,Personal,Charlotte NC,North Carolina,UX16,no,1,K
UX5138,0,0,No,70,431,4,1,25K,59,50-59,Female,1,2007,3,1 to 10,5000,300K+,0,4138,1,4500,Personal,Raleigh/Durham NC,North Carolina,UX10,no,1,K
UX5139,0,5,No,102,544,4,0,25K,64,60-69,Male,1,2010,22,21 to 30,4000,300K+,0,4139,1,14800,Personal,Charlotte NC,North Carolina,UX9,no,1,K
UX5140,0,7,No,93,544,3,1,25K,31,30-39,Female,2,2005,9,1 to 10,8000,300K+,0,4140,1,9000,Personal,Charlotte NC,North Carolina,UX21,yes,1,K
UX5141,0,0,No,78,431,3,0,1K,31,30-39,Female,1,2005,7,1 to 10,17000,300K+,1,4141,1,3500,Personal,Raleigh/Durham NC,North Carolina,UX13,no,1,K
UX5142,0,0,No,90,544,2,1,1K,35,30-39,Male,1,2006,0,0,9000,300K+,2,4142,2,7500,Personal,Charlotte NC,North Carolina,UX21,no,1,K
UX5143,0,0,No,70,431,3,0,1K,41,40-49,Male,2,2008,0,0,6000,300K+,0,4143,1,1500,Personal,Raleigh/Durham NC,North Carolina,UX10,no,1,K
UX5144,0,0,No,69,427,3,1,1K,24,20-29,Female,1,2004,5,1 to 10,2000,300K+,0,4144,1,0,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5145,0,0,No,91,544,4,1,25K,35,30-39,Female,2,2007,8,1 to 10,5000,300K+,1,4145,1,3000,Personal,Charlotte NC,North Carolina,UX14,no,1,K
UX5146,,,Yes,,544,4,1,1K,34,30-39,Female,1,2007,6,1 to 10,20000,300K+,3,4146,3,6000,Personal,Charlotte NC,North Carolina,UX21,no,1,K
UX5147,,,Yes,,431,4,1,1K,43,40-49,Female,1,2009,6,1 to 10,1000,300K+,2,4147,2,10500,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5148,32,36,No,77,427,3,1,1K,44,40-49,Male,2,2003,38,31 to 40,1000,300K+,1,4148,1,0,Personal,Raleigh/Durham NC,North Carolina,UX19,yes,1,K
UX5149,0,0,No,72,431,3,1,1K,54,50-59,Male,2,2011,32,31 to 40,12000,300K+,6,4149,6,6500,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5150,8,0,No,71,431,2,0,5K,52,50-59,Male,1,2003,6,1 to 10,10000,300K+,4,4150,4,6700,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5151,,,Yes,,544,3,0,1K,70,70-79,Female,2,2006,36,31 to 40,4000,300K+,0,4151,1,3000,Personal,Charlotte NC,North Carolina,UX13,no,1,K
UX5152,0,20,No,72,431,2,0,1K,39,30-39,Male,1,2009,13,11 to 20,4000,300K+,0,4152,1,4000,Personal,Raleigh/Durham NC,North Carolina,UX18,yes,1,K
UX5153,,,Yes,,431,4,0,1K,29,20-29,Female,1,2006,1,1 to 10,11000,300K+,2,4153,2,15000,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5154,,,Yes,,427,4,0,1K,21,20-29,Male,1,2003,9,1 to 10,9000,300K+,1,4154,1,0,Personal,Raleigh/Durham NC,North Carolina,UX19,no,1,K
UX5155,0,0,No,82,427,2,0,1K,39,30-39,Male,0,2009,0,0,4000,300K+,2,4155,2,6500,Personal,Raleigh/Durham NC,North Carolina,UX14,no,1,K
UX5156,0,0,No,76,431,3,1,1K,26,20-29,Female,2,2003,26,21 to 30,2000,150K - 300K,1,4156,1,4500,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5157,0,22,No,86,431,4,1,1K,39,30-39,Male,1,2005,12,11 to 20,4000,150K - 300K,1,4157,1,0,Personal,Raleigh/Durham NC,North Carolina,UX18,yes,1,K
UX5158,0,0,No,75,427,3,1,1K,26,20-29,Male,2,2009,27,21 to 30,2000,150K - 300K,0,4158,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5159,28,74,No,71,431,3,1,1K,18,0-19,Male,2,2003,14,11 to 20,2000,150K - 300K,3,4159,3,4500,Personal,Raleigh/Durham NC,North Carolina,UX13,yes,1,K
UX5160,0,0,No,75,431,4,0,1K,45,40-49,Female,2,2004,15,11 to 20,5000,Less than 150K,0,4160,1,1500,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5161,26,9,No,69,431,2,0,1K,77,70-79,Male,1,2012,30,21 to 30,5000,Less than 150K,0,4161,1,8500,Personal,Raleigh/Durham NC,North Carolina,UX12,yes,1,K
UX5162,17,33,No,70,431,2,0,1K,65,60-69,Female,1,2005,31,31 to 40,5000,Less than 150K,0,4162,1,9000,Personal,Raleigh/Durham NC,North Carolina,UX13,yes,1,K
UX5163,122,125,No,80,427,5,1,25K,39,30-39,Female,2,2010,10,11 to 20,10000,Less than 150K,2,4163,2,10500,Personal,Raleigh/Durham NC,North Carolina,UX19,yes,1,K
UX5164,0,0,No,78,431,4,1,25K,34,30-39,Male,1,2009,7,1 to 10,14000,Less than 150K,4,4164,4,5800,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5165,15,16,No,89,544,2,1,5K,36,30-39,Female,1,2009,5,1 to 10,40000,Less than 150K,1,4165,1,10500,Personal,Charlotte NC,North Carolina,UX21,yes,1,K
UX5166,1,0,No,72,427,3,1,1K,45,40-49,Female,1,2012,13,11 to 20,1000,Less than 150K,0,4166,1,7500,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5167,0,16,No,77,427,4,1,1K,51,50-59,Female,2,2005,8,1 to 10,49000,Less than 150K,1,4167,1,12000,Personal,Raleigh/Durham NC,North Carolina,UX14,yes,1,K
UX5168,9,29,No,84,431,2,0,1K,80,80+,Female,3,2011,15,11 to 20,4000,Less than 150K,0,4168,1,9000,Personal,Raleigh/Durham NC,North Carolina,UX8,yes,1,K
UX5169,0,9,No,82,431,2,1,1K,42,40-49,Female,1,2008,5,1 to 10,10000,Less than 150K,2,4169,2,3000,Personal,Raleigh/Durham NC,North Carolina,UX16,yes,1,K
UX5170,0,0,No,68,431,2,0,1K,55,50-59,Female,1,2004,29,21 to 30,7000,Less than 150K,0,4170,1,11000,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5171,0,0,No,68,427,3,1,1K,15,0-19,Female,1,2009,12,11 to 20,4000,Less than 150K,3,4171,3,6500,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5172,5,0,No,70,431,3,0,1K,48,40-49,Female,2,2009,46,41 to 50,1000,Less than 150K,0,4172,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX17,no,1,K
UX5173,0,0,No,69,427,3,0,1K,45,40-49,Female,2,2010,28,21 to 30,6000,Less than 150K,0,4173,1,5000,Personal,Raleigh/Durham NC,North Carolina,UX19,no,1,K
UX5174,0,11,No,71,427,2,1,1K,71,70-79,Male,1,2008,21,21 to 30,8000,Less than 150K,0,4174,1,17000,Personal,Raleigh/Durham NC,North Carolina,UX8,yes,1,K
UX5175,20,22,No,70,427,2,1,1K,67,60-69,Female,1,2005,29,21 to 30,7000,Less than 150K,2,4175,2,12000,Personal,Raleigh/Durham NC,North Carolina,UX19,yes,1,K
UX5176,0,0,No,71,427,3,0,10K,79,70-79,Female,1,2007,47,41 to 50,7000,Less than 150K,0,4176,1,4500,Personal,Raleigh/Durham NC,North Carolina,UX14,no,1,K
UX5177,0,0,No,78,431,3,0,1K,78,70-79,Male,2,2007,27,21 to 30,1000,Less than 150K,0,4177,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX17,no,1,K
UX5178,0,0,No,83,544,2,0,10K,80,80+,Male,2,2005,35,31 to 40,9000,Less than 150K,0,4178,1,9000,Personal,Charlotte NC,North Carolina,UX14,no,1,K
UX5179,66,76,No,64,431,2,0,1K,16,0-19,Male,2,2004,13,11 to 20,10000,Less than 150K,2,4179,2,12000,Personal,Raleigh/Durham NC,North Carolina,UX16,yes,1,K
UX5180,0,0,No,77,431,3,0,1K,53,50-59,Female,1,2006,9,1 to 10,9000,Less than 150K,0,4180,1,3000,Personal,Raleigh/Durham NC,North Carolina,UX15,no,1,K
UX5181,0,0,No,75,427,2,1,1K,59,50-59,Male,2,2007,48,41 to 50,4000,Less than 150K,0,4181,1,4500,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5182,0,8,No,81,431,3,0,25K,85,80+,Female,1,2007,26,21 to 30,8000,Less than 150K,0,4182,1,3500,Personal,Raleigh/Durham NC,North Carolina,UX13,yes,1,K
UX5183,0,0,No,74,427,2,0,1K,72,70-79,Male,2,2008,26,21 to 30,6000,Less than 150K,0,4183,1,6000,Personal,Raleigh/Durham NC,North Carolina,UX19,no,1,K
UX5184,0,11,No,84,431,3,0,25K,37,30-39,Female,2,2012,13,11 to 20,32000,Less than 150K,2,4184,2,9000,Personal,Raleigh/Durham NC,North Carolina,UX17,yes,1,K
UX5185,0,0,No,74,427,3,1,1K,42,40-49,Female,1,2008,24,21 to 30,22000,Less than 150K,2,4185,2,8000,Personal,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5186,,,Yes,,427,1,1,1K,35,30-39,Male,2,2011,42,41 to 50,9000,Less than 150K,0,4186,1,1000,Personal,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5187,0,0,No,67,431,4,1,10K,47,40-49,Female,1,2012,15,11 to 20,14000,300K+,1,4187,1,15000,Small Business,Raleigh/Durham NC,North Carolina,UX10,no,1,K
UX5188,96,113,No,83,431,4,1,1K,49,40-49,Female,1,2010,1,1 to 10,6000,300K+,3,4188,3,1500,Small Business,Raleigh/Durham NC,North Carolina,UX13,yes,1,K
UX5189,41,29,No,63,431,4,1,1K,62,60-69,Female,0,2008,22,21 to 30,4000,300K+,0,4189,1,9000,Small Business,Raleigh/Durham NC,North Carolina,UX12,yes,1,K
UX5190,26,15,No,80,431,4,0,25K,27,20-29,Female,1,2008,18,11 to 20,10000,300K+,0,4190,1,0,Small Business,Raleigh/Durham NC,North Carolina,UX12,yes,1,K
UX5191,0,0,No,68,431,4,0,1K,38,30-39,Female,2,2003,22,21 to 30,34000,300K+,1,4191,1,15000,Small Business,Raleigh/Durham NC,North Carolina,UX18,no,1,K
UX5192,96,73,No,79,544,5,1,1K,36,30-39,Male,1,2008,8,1 to 10,9000,300K+,2,4192,2,0,Small Business,Charlotte NC,North Carolina,UX14,yes,1,K
UX5193,7,0,No,73,427,4,0,1K,31,30-39,Female,1,2010,3,1 to 10,30000,300K+,3,4193,3,6000,Small Business,Raleigh/Durham NC,North Carolina,UX12,no,1,K
UX5194,0,0,No,79,544,4,1,1K,63,60-69,Female,1,2012,16,11 to 20,3000,300K+,0,4194,1,9000,Small Business,Charlotte NC,North Carolina,UX13,no,1,K
UX5195,26,29,No,70,427,3,0,25K,80,80+,Female,2,2009,0,0,7000,300K+,0,4195,1,28900,Small Business,Raleigh/Durham NC,North Carolina,UX8,yes,1,K
UX5196,,,Yes,,544,4,1,1K,22,20-29,Female,1,2003,16,11 to 20,1000,300K+,1,4196,1,11000,Small Business,Charlotte NC,North Carolina,UX14,no,1,K
UX5197,0,0,No,82,427,3,0,25K,50,50-59,Female,0,2008,41,41 to 50,1000,300K+,0,4197,1,4500,Small Business,Raleigh/Durham NC,North Carolina,UX8,no,1,K
UX5198,,,Yes,,544,4,0,1K,78,70-79,Female,1,2005,5,1 to 10,4000,300K+,0,4198,1,10500,Small Business,Charlotte NC,North Carolina,UX21,no,1,K
UX5199,98,82,No,71,431,4,0,25K,50,50-59,Male,1,2010,15,11 to 20,3000,150K - 300K,3,4199,3,6000,Small Business,Raleigh/Durham NC,North Carolina,UX20,yes,1,K
UX5200,0,8,No,81,544,2,0,1K,34,30-39,Female,1,2005,21,21 to 30,20000,Less than 150K,2,4200,2,9000,Small Business,Charlotte NC,North Carolina,UX11,yes,1,K
UX5201,0,14,No,76,427,2,0,1K,64,60-69,Female,1,2005,18,11 to 20,4000,Less than 150K,0,4201,1,9000,Small Business,Raleigh/Durham NC,North Carolina,UX8,yes,1,K
UX5202,0,0,No,136,888,5,1,1K,41,40-49,Male,2,2008,20,11 to 20,30000,300K+,3,4202,3,10500,Corporate,St. Louis MO,Missouri,UX18,no,1,K
UX5203,36,34,No,150,888,3,0,1K,32,30-39,Male,2,2009,35,31 to 40,5000,300K+,0,4203,1,2000,Corporate,St. Louis MO,Missouri,UX18,yes,1,K
UX5204,27,14,No,130,888,4,1,1K,29,20-29,Male,1,2008,27,21 to 30,17000,300K+,2,4204,2,3000,Personal,St. Louis MO,Missouri,UX11,yes,1,K
UX5205,0,0,No,129,888,4,1,10K,53,50-59,Female,1,2006,13,11 to 20,6000,300K+,0,4205,1,6000,Personal,St. Louis MO,Missouri,UX13,no,1,K
UX5206,9,12,No,138,888,5,1,25K,47,40-49,Female,1,2005,7,1 to 10,3000,300K+,0,4206,1,11500,Personal,St. Louis MO,Missouri,UX19,yes,1,K
UX5207,0,0,No,134,888,5,0,5K,38,30-39,Male,2,2006,9,1 to 10,42000,300K+,2,4207,2,8000,Personal,St. Louis MO,Missouri,UX13,no,1,K
UX5208,0,16,No,146,888,5,1,25K,42,40-49,Female,2,2007,14,11 to 20,8000,300K+,1,4208,1,2500,Personal,St. Louis MO,Missouri,UX11,yes,1,K
UX5209,0,0,No,130,888,3,0,1K,16,0-19,Female,1,2005,8,1 to 10,6000,300K+,2,4209,2,9000,Personal,St. Louis MO,Missouri,UX16,no,1,K
UX5210,0,0,No,137,888,4,0,1K,39,30-39,Female,1,2006,17,11 to 20,14000,300K+,4,4210,4,9500,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5211,0,22,No,138,888,4,1,10K,49,40-49,Female,2,2004,33,31 to 40,4000,300K+,0,4211,1,6000,Personal,St. Louis MO,Missouri,UX14,yes,1,K
UX5212,43,22,No,134,888,3,1,1K,25,20-29,Male,1,2004,5,1 to 10,5000,300K+,0,4212,1,6000,Personal,St. Louis MO,Missouri,UX11,yes,1,K
UX5213,6,0,No,139,888,3,0,25K,58,50-59,Male,1,2004,47,41 to 50,10000,300K+,0,4213,1,4500,Personal,St. Louis MO,Missouri,UX18,no,1,K
UX5214,13,53,No,143,888,3,0,1K,56,50-59,Female,1,2006,8,1 to 10,2000,300K+,0,4214,1,8000,Personal,St. Louis MO,Missouri,UX13,yes,1,K
UX5215,38,54,No,144,888,4,0,1K,53,50-59,Male,1,2012,48,41 to 50,4000,Less than 150K,0,4215,1,10500,Personal,St. Louis MO,Missouri,UX8,yes,1,K
UX5216,0,0,No,131,888,3,0,1K,58,50-59,Male,2,2011,51,51 to 60,10000,Less than 150K,0,4216,1,1500,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5217,37,38,No,140,888,2,1,1K,59,50-59,Female,2,2003,7,1 to 10,6000,Less than 150K,2,4217,2,3000,Personal,St. Louis MO,Missouri,UX18,yes,1,K
UX5218,0,0,No,137,888,2,1,1K,63,60-69,Female,2,2008,16,11 to 20,9000,Less than 150K,0,4218,1,6000,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5219,0,48,No,155,888,2,1,1K,77,70-79,Female,1,2007,41,41 to 50,4000,Less than 150K,0,4219,1,8000,Personal,St. Louis MO,Missouri,UX18,yes,1,K
UX5220,0,17,No,145,888,2,1,1K,77,70-79,Female,1,2004,10,1 to 10,7000,Less than 150K,0,4220,1,10500,Personal,St. Louis MO,Missouri,UX15,yes,1,K
UX5221,0,0,No,143,888,3,1,25K,25,20-29,Female,2,2011,35,31 to 40,4000,Less than 150K,0,4221,1,6000,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5222,0,0,No,136,888,1,0,1K,70,70-79,Male,1,2012,53,51 to 60,6000,Less than 150K,0,4222,1,4500,Personal,St. Louis MO,Missouri,UX14,no,1,K
UX5223,0,0,No,143,888,2,0,1K,77,70-79,Female,1,2010,55,51 to 60,6000,Less than 150K,0,4223,1,1000,Personal,St. Louis MO,Missouri,UX16,no,1,K
UX5224,,,Yes,,888,2,1,1K,32,30-39,Female,1,2003,13,11 to 20,80000,Less than 150K,3,4224,3,3000,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5225,0,0,No,141,888,2,0,1K,18,0-19,Female,2,2005,4,1 to 10,47000,Less than 150K,1,4225,1,3000,Personal,St. Louis MO,Missouri,UX8,no,1,K
UX5226,69,97,No,127,888,4,0,25K,36,30-39,Female,1,2012,6,1 to 10,2000,300K+,1,4226,1,1500,Small Business,St. Louis MO,Missouri,UX14,yes,1,K
UX5227,5,14,No,129,888,3,1,1K,33,30-39,Female,1,2004,37,31 to 40,4000,300K+,1,4227,1,1500,Small Business,St. Louis MO,Missouri,UX14,yes,1,K
UX5228,0,20,No,139,888,3,1,1K,85,80+,Female,1,2006,29,21 to 30,10000,150K - 300K,0,4228,1,12000,Small Business,St. Louis MO,Missouri,UX19,yes,1,K
UX5229,0,3,No,140,1020,4,1,25K,38,30-39,Male,1,2003,13,11 to 20,7000,300K+,3,4229,3,10500,Personal,Minneapolis MN,Minnesota,UX18,no,1,K
UX5230,0,0,No,141,1020,4,0,1K,48,40-49,Male,1,2003,11,11 to 20,34000,300K+,1,4230,1,9500,Personal,Minneapolis MN,Minnesota,UX12,no,1,K
UX5231,0,0,No,145,1020,4,1,1K,63,60-69,Male,1,2003,5,1 to 10,8000,300K+,0,4231,1,6000,Personal,Minneapolis MN,Minnesota,UX6,no,1,K
UX5232,29,41,No,162,1020,4,0,1K,43,40-49,Male,1,2004,7,1 to 10,18000,300K+,2,4232,2,10000,Personal,Minneapolis MN,Minnesota,UX14,yes,1,K
UX3970,7,17,No,115,737,2,1,1K,63,60-69,Female,1,2011,14,11 to 20,3000,Less than 150K,0,2970,1,6500,Personal,Dallas/Fort Worth TX,Texas,UX12,yes,1,K
UX3971,0,0,No,116,737,5,0,25K,50,50-59,Female,1,2008,22,21 to 30,11000,300K+,1,2971,1,2000,Small Business,Dallas/Fort Worth TX,Texas,UX6,no,1,K
UX3972,1,0,No,101,737,4,0,1K,43,40-49,Female,1,2007,25,21 to 30,5000,300K+,1,2972,1,6000,Small Business,Dallas/Fort Worth TX,Texas,UX16,no,1,K
UX3973,15,2,No,109,835,3,0,1K,35,30-39,Female,1,2011,16,11 to 20,4000,300K+,0,2973,1,3500,Small Business,Dallas/Fort Worth TX,Texas,UX14,no,1,K
UX3974,0,0,No,102,737,4,1,1K,21,20-29,Male,2,2008,13,11 to 20,8000,300K+,2,2974,2,7000,Small Business,Dallas/Fort Worth TX,Texas,UX6,no,1,K
UX3975,,,Yes,,737,2,1,1K,78,70-79,Female,1,2011,46,41 to 50,5000,Less than 150K,0,2975,1,7500,Small Business,Dallas/Fort Worth TX,Texas,UX6,no,1,K
