CUSTOMER,NUMBER_OF_LATE_PAYMENTS,NUMBER_OF_CREDIT_APPLICATIONS,DECLARED_BANKRUPTCY_IN_PAST_7_YRS,AVERAGE_MONTHLY_FEE,CREDIT_SCORE,SATISFACTION,DEFAULT,AVERAGE_CASH_BALANCE,AGE,AGE_RANGE,GENDER,NUMBER_OF_PRODUCTS,CUST_ACQUISITION_YEAR,NO_OF_UNIQUE_PRODUCTS,NO_OF_UNIQUE_PRODUCTS_GROUPED,EQUITIES_BALANCE,INITIAL_MORTGAGE_AMT,ADDRESS_CHANGES,HOUSEHOLD_ID,CLIENTS_IN_HOUSEHOLD,AVERAGE_CREDIT_CARD_BALANCE,CUSTOMER_TYPE,HOME_BRANCH_CITY,HOME_BRANCH_STATE,SALESPERSON,CHURN,COUNT,BANKID
ID9484,0,0,No,127,1187,2,0,1K,63,60-69,Female,1,2008,42,41 to 50,1000,Less than 150K,0,8484,1,4500,Personal,Oklahoma City OK,Oklahoma,ID9,no,1,N
ID9485,2,12,No,136,1187,2,0,1K,23,20-29,Male,2,2011,29,21 to 30,7000,Less than 150K,0,8485,1,8000,Personal,Oklahoma City OK,Oklahoma,ID17,yes,1,N
ID9486,1,4,No,137,1187,3,0,1K,46,40-49,Female,1,2003,16,11 to 20,6000,Less than 150K,0,8486,1,6000,Small Business,Oklahoma City OK,Oklahoma,ID9,no,1,N
ID9487,174,172,No,84,677,4,0,1K,26,20-29,Male,1,2003,8,1 to 10,3000,300K+,1,8487,1,1500,Personal,Albuquerque NM,New Mexico,ID19,yes,1,N
ID9488,0,0,No,82,677,4,1,1K,39,30-39,Male,1,2012,18,11 to 20,2000,300K+,3,8488,3,9000,Personal,Albuquerque NM,New Mexico,ID19,no,1,N
ID9489,0,0,No,83,677,4,1,1K,40,40-49,Female,1,2008,15,11 to 20,9000,300K+,0,8489,1,8000,Personal,Albuquerque NM,New Mexico,ID19,no,1,N
ID9490,0,4,No,98,677,5,0,10K,46,40-49,Male,1,2003,9,1 to 10,4000,300K+,1,8490,1,5000,Personal,Albuquerque NM,New Mexico,ID16,no,1,N
ID9491,28,31,No,90,677,2,0,1K,30,30-39,Male,1,2009,31,31 to 40,1000,300K+,3,8491,3,7000,Personal,Albuquerque NM,New Mexico,ID16,yes,1,N
ID9492,0,0,No,90,677,4,0,1K,19,0-19,Male,1,2005,30,21 to 30,4000,300K+,1,8492,1,2500,Personal,Albuquerque NM,New Mexico,ID16,no,1,N
ID9493,19,10,No,78,677,3,0,25K,46,40-49,Female,1,2003,14,11 to 20,3000,300K+,0,8493,1,9000,Personal,Albuquerque NM,New Mexico,ID16,yes,1,N
ID9494,43,36,No,85,677,3,0,1K,26,20-29,Male,2,2004,0,0,18000,300K+,1,8494,1,6900,Personal,Albuquerque NM,New Mexico,ID16,yes,1,N
ID9495,0,0,No,83,677,3,1,5K,47,40-49,Female,1,2005,41,41 to 50,10000,Less than 150K,2,8495,2,6000,Personal,Albuquerque NM,New Mexico,ID16,no,1,N
ID9496,22,29,No,90,677,2,1,10K,69,60-69,Female,2,2005,6,1 to 10,7000,Less than 150K,0,8496,1,2000,Small Business,Albuquerque NM,New Mexico,ID19,yes,1,N
ID9497,0,0,No,104,862,5,1,25K,48,40-49,Female,1,2010,9,1 to 10,12000,300K+,1,8497,1,1000,Corporate,Denver CO,Colorado,ID11,no,1,N
ID9498,52,35,No,106,862,2,1,1K,35,30-39,Male,1,2011,8,1 to 10,7000,300K+,3,8498,3,3000,Corporate,Denver CO,Colorado,ID21,yes,1,N
ID9499,0,0,No,109,862,3,1,1K,18,0-19,Male,2,2003,0,0,1000,300K+,0,8499,1,5000,Corporate,Denver CO,Colorado,ID21,no,1,N
ID9500,0,0,No,108,737,2,1,1K,29,20-29,Female,1,2009,33,31 to 40,1000,Less than 150K,2,8500,2,3000,Corporate,Aspen CO,Colorado,ID9,no,1,N
ID9501,0,0,No,106,862,2,0,1K,51,50-59,Male,0,2008,60,61 to 70,1000,Less than 150K,0,8501,1,4000,Corporate,Denver CO,Colorado,ID8,no,1,N
ID9502,28,14,No,101,862,4,0,1K,44,40-49,Male,1,2010,22,21 to 30,4000,300K+,0,8502,1,4000,Personal,Denver CO,Colorado,ID21,yes,1,N
ID9503,34,9,No,100,862,4,1,1K,55,50-59,Male,1,2011,4,1 to 10,7000,300K+,0,8503,1,7500,Personal,Denver CO,Colorado,ID15,yes,1,N
ID9504,0,0,No,111,862,4,1,25K,50,50-59,Female,1,2012,13,11 to 20,6000,300K+,0,8504,1,1500,Personal,Denver CO,Colorado,ID8,no,1,N
ID9505,0,0,No,98,737,4,1,25K,31,30-39,Male,2,2003,23,21 to 30,9000,300K+,0,8505,1,6000,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9506,25,27,No,108,862,4,1,1K,46,40-49,Male,1,2005,16,11 to 20,24000,300K+,2,8506,2,4000,Personal,Denver CO,Colorado,ID11,yes,1,N
ID9507,14,2,No,97,737,5,0,25K,52,50-59,Female,1,2011,1,1 to 10,10000,300K+,0,8507,1,4000,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9508,2,0,No,103,862,5,0,25K,46,40-49,Female,1,2005,20,11 to 20,9000,300K+,0,8508,1,12000,Personal,Denver CO,Colorado,ID15,no,1,N
ID9509,63,53,No,113,862,4,1,1K,42,40-49,Male,2,2007,18,11 to 20,9000,300K+,3,8509,3,5200,Personal,Denver CO,Colorado,ID15,yes,1,N
ID9510,12,,No,,737,4,0,25K,47,40-49,Female,1,2008,0,0,5000,300K+,0,8510,1,3000,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9511,0,0,No,94,737,5,1,1K,37,30-39,Male,1,2003,16,11 to 20,16000,300K+,2,8511,2,7500,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9512,88,79,No,104,862,3,0,1K,39,30-39,Female,1,2011,15,11 to 20,6000,300K+,1,8512,1,17000,Personal,Denver CO,Colorado,ID21,yes,1,N
ID9513,21,16,No,112,862,3,0,1K,45,40-49,Female,1,2006,25,21 to 30,4000,300K+,0,8513,1,11700,Personal,Denver CO,Colorado,ID11,yes,1,N
ID9514,29,3,No,99,862,3,0,1K,46,40-49,Male,2,2008,20,11 to 20,13000,300K+,3,8514,3,8000,Personal,Denver CO,Colorado,ID21,no,1,N
ID9515,52,54,No,126,862,3,0,1K,48,40-49,Female,1,2005,18,11 to 20,31000,300K+,3,8515,3,1500,Personal,Denver CO,Colorado,ID11,yes,1,N
ID9516,25,10,No,97,862,3,0,25K,59,50-59,Female,1,2012,16,11 to 20,1000,300K+,0,8516,1,12000,Personal,Denver CO,Colorado,ID21,yes,1,N
ID9517,0,2,No,118,862,4,0,1K,44,40-49,Female,1,2004,15,11 to 20,2000,150K - 300K,1,8517,1,6000,Personal,Denver CO,Colorado,ID11,no,1,N
ID9518,4,10,No,115,862,4,1,1K,37,30-39,Female,2,2010,17,11 to 20,6000,150K - 300K,2,8518,2,3000,Personal,Denver CO,Colorado,ID21,yes,1,N
ID9519,83,61,No,101,862,1,1,1K,45,40-49,Female,2,2012,5,1 to 10,10000,150K - 300K,1,8519,1,4500,Personal,Denver CO,Colorado,ID11,yes,1,N
ID9520,0,4,No,105,862,4,1,1K,36,30-39,Male,1,2010,17,11 to 20,8000,Less than 150K,0,8520,1,5500,Personal,Denver CO,Colorado,ID21,no,1,N
ID9521,0,0,No,100,737,4,1,25K,34,30-39,Female,1,2003,7,1 to 10,57000,Less than 150K,3,8521,3,3000,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9522,21,10,No,108,862,2,1,1K,76,70-79,Male,0,2011,17,11 to 20,1000,Less than 150K,0,8522,1,8000,Personal,Denver CO,Colorado,ID15,yes,1,N
ID9523,0,0,No,102,862,3,0,1K,72,70-79,Female,2,2009,30,21 to 30,2000,Less than 150K,0,8523,1,4000,Personal,Denver CO,Colorado,ID11,no,1,N
ID9524,0,0,No,113,862,3,0,1K,30,30-39,Female,2,2006,37,31 to 40,2000,Less than 150K,2,8524,2,3000,Personal,Denver CO,Colorado,ID11,no,1,N
ID9525,0,,No,,737,3,1,25K,39,30-39,Female,1,2008,8,1 to 10,18000,Less than 150K,2,8525,2,6000,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9526,0,,No,,737,2,0,1K,44,40-49,Male,2,2003,30,31 to 40,2000,Less than 150K,0,8526,1,1500,Personal,Aspen CO,Colorado,ID9,no,1,N
ID9527,0,4,No,111,862,1,0,1K,85,80+,Female,2,2011,35,31 to 40,9000,Less than 150K,0,8527,1,9000,Personal,Denver CO,Colorado,ID11,no,1,N
ID9528,0,0,No,105,862,3,0,1K,60,60-69,Male,3,2011,29,21 to 30,7000,Less than 150K,0,8528,1,6000,Personal,Denver CO,Colorado,ID21,no,1,N
ID9529,0,14,No,118,862,1,1,1K,55,50-59,Female,1,2004,17,11 to 20,10000,Less than 150K,0,8529,1,9000,Personal,Denver CO,Colorado,ID11,yes,1,N
ID9530,7,12,No,114,862,2,1,1K,60,60-69,Female,1,2006,36,31 to 40,3000,Less than 150K,0,8530,1,3500,Personal,Denver CO,Colorado,ID15,yes,1,N
ID9531,1,0,No,104,862,2,0,1K,59,50-59,Female,1,2003,50,51 to 60,1000,Less than 150K,0,8531,1,1500,Personal,Denver CO,Colorado,ID21,no,1,N
ID9532,0,1,No,107,862,3,0,1K,70,70-79,Female,1,2004,49,41 to 50,6000,Less than 150K,0,8532,1,7000,Personal,Denver CO,Colorado,ID8,no,1,N
ID9533,93,92,No,117,862,4,0,5K,32,30-39,Female,1,2011,33,31 to 40,16000,300K+,1,8533,1,18000,Small Business,Denver CO,Colorado,ID15,yes,1,N
ID9534,34,30,No,102,862,4,1,1K,33,30-39,Female,1,2011,0,0,18000,300K+,3,8534,3,12000,Small Business,Denver CO,Colorado,ID11,yes,1,N
ID9535,0,0,No,109,862,3,1,1K,85,80+,Female,2,2008,21,21 to 30,8000,Less than 150K,0,8535,1,1500,Small Business,Denver CO,Colorado,ID8,no,1,N
ID9536,7,6,No,108,862,2,1,1K,21,20-29,Female,1,2012,13,11 to 20,7000,Less than 150K,0,8536,1,12000,Small Business,Denver CO,Colorado,ID21,yes,1,N
ID9537,78,70,No,104,862,2,1,10K,74,70-79,Female,1,2003,25,21 to 30,5000,Less than 150K,0,8537,1,1000,Small Business,Denver CO,Colorado,ID15,yes,1,N
ID9538,122,121,No,28,109,4,1,25K,34,30-39,Male,1,2011,19,11 to 20,3000,300K+,0,8538,1,4500,Corporate,San Diego CA,California,ID7,yes,1,N
ID9539,0,10,No,25,109,4,1,25K,55,50-59,Female,1,2006,5,1 to 10,5000,150K - 300K,0,8539,1,6000,Corporate,San Diego CA,California,ID10,yes,1,N
ID9540,3,2,No,26,109,4,0,1K,29,20-29,Female,2,2008,25,21 to 30,14000,300K+,1,8540,1,15000,Personal,Los Angeles CA,California,ID8,no,1,N
ID9541,0,0,No,24,109,4,0,1K,49,40-49,Male,2,2008,4,1 to 10,35000,300K+,3,8541,3,7500,Personal,Los Angeles CA,California,ID12,no,1,N
ID9542,0,0,No,46,308,4,1,1K,19,0-19,Male,1,2005,36,31 to 40,1000,300K+,0,8542,1,6000,Personal,San Jose CA,California,ID18,no,1,N
ID9543,0,0,No,51,308,5,0,1K,60,60-69,Male,1,2004,0,0,4000,300K+,0,8543,1,2000,Personal,San Jose CA,California,ID18,no,1,N
ID9544,60,53,No,45,308,4,0,25K,43,40-49,Male,1,2004,20,11 to 20,19000,300K+,1,8544,1,2000,Personal,San Jose CA,California,ID17,yes,1,N
ID9545,45,36,No,26,109,4,1,25K,28,20-29,Female,1,2003,28,21 to 30,6000,300K+,0,8545,1,7300,Personal,San Diego CA,California,ID8,yes,1,N
ID9546,0,17,No,23,109,4,1,1K,40,40-49,Female,1,2006,12,11 to 20,8000,300K+,1,8546,1,7500,Personal,Los Angeles CA,California,ID7,yes,1,N
ID9547,0,0,No,29,109,4,0,1K,56,50-59,Female,1,2006,14,11 to 20,6000,300K+,0,8547,1,9000,Personal,San Diego CA,California,ID7,no,1,N
ID9548,3,7,No,25,109,4,1,1K,20,20-29,Male,2,2003,35,31 to 40,7000,300K+,1,8548,1,700,Personal,San Diego CA,California,ID21,yes,1,N
ID9549,9,8,No,26,109,4,0,1K,28,20-29,Male,1,2009,10,11 to 20,9000,300K+,3,8549,3,3000,Personal,San Diego CA,California,ID10,yes,1,N
ID9550,20,20,No,25,109,4,0,1K,56,50-59,Female,1,2009,8,1 to 10,9000,300K+,0,8550,1,10500,Personal,Los Angeles CA,California,ID8,yes,1,N
ID9551,2,17,No,30,109,4,0,1K,44,40-49,Male,1,2005,4,1 to 10,4000,300K+,2,8551,2,9000,Personal,Los Angeles CA,California,ID10,yes,1,N
ID9552,58,38,No,23,109,4,0,1K,52,50-59,Male,2,2006,49,41 to 50,10000,300K+,0,8552,1,2300,Personal,Los Angeles CA,California,ID6,yes,1,N
ID9553,7,8,No,50,308,5,1,10K,41,40-49,Male,1,2005,5,1 to 10,20000,300K+,3,8553,3,5000,Personal,San Jose CA,California,ID8,yes,1,N
ID9554,0,0,No,24,109,4,0,1K,39,30-39,Male,2,2009,8,1 to 10,18000,300K+,2,8554,2,10000,Personal,Los Angeles CA,California,ID12,no,1,N
ID9555,0,0,No,48,308,5,0,10K,35,30-39,Male,1,2007,4,1 to 10,13000,300K+,2,8555,2,18000,Personal,San Jose CA,California,ID8,no,1,N
ID9556,4,6,No,27,109,4,1,1K,24,20-29,Female,1,2003,14,11 to 20,9000,300K+,1,8556,1,9000,Personal,San Diego CA,California,ID21,yes,1,N
ID9557,111,115,No,28,109,4,0,1K,32,30-39,Male,1,2004,22,21 to 30,7000,300K+,0,8557,1,1500,Personal,Los Angeles CA,California,ID20,yes,1,N
ID9558,0,0,No,24,109,4,1,1K,34,30-39,Male,1,2008,7,1 to 10,26000,300K+,3,8558,3,4800,Personal,Los Angeles CA,California,ID7,no,1,N
ID9559,0,3,No,27,109,4,0,1K,24,20-29,Female,1,2003,31,31 to 40,20000,300K+,1,8559,1,9000,Personal,Los Angeles CA,California,ID8,no,1,N
ID9560,48,37,No,49,308,4,0,1K,40,40-49,Male,1,2012,6,1 to 10,10000,300K+,0,8560,1,3500,Personal,San Jose CA,California,ID18,yes,1,N
ID9561,8,7,No,27,109,3,0,1K,30,30-39,Female,1,2010,1,1 to 10,23000,300K+,1,8561,1,5500,Personal,San Diego CA,California,ID19,yes,1,N
ID9562,0,0,No,24,109,3,0,1K,58,50-59,Female,1,2005,10,11 to 20,1000,300K+,1,8562,1,2000,Personal,Los Angeles CA,California,ID20,no,1,N
ID9563,0,3,No,24,109,4,0,1K,40,40-49,Male,1,2011,0,0,7000,300K+,1,8563,1,0,Personal,Los Angeles CA,California,ID12,no,1,N
ID9564,0,0,No,21,109,3,0,1K,41,40-49,Female,1,2005,5,1 to 10,4000,300K+,1,8564,1,3500,Personal,Los Angeles CA,California,ID8,no,1,N
ID9565,0,0,No,22,109,4,1,25K,27,20-29,Female,1,2009,10,1 to 10,2000,300K+,0,8565,1,9000,Personal,Los Angeles CA,California,ID10,no,1,N
ID9566,0,0,No,22,109,2,1,1K,58,50-59,Male,1,2003,15,11 to 20,3000,300K+,0,8566,1,8600,Personal,Los Angeles CA,California,ID6,no,1,N
ID9567,0,0,No,26,109,4,0,1K,41,40-49,Male,1,2003,16,11 to 20,2000,300K+,0,8567,1,30000,Personal,Los Angeles CA,California,ID6,no,1,N
ID9568,30,43,No,24,109,3,1,1K,53,50-59,Female,1,2007,6,1 to 10,7000,300K+,1,8568,1,8000,Personal,Los Angeles CA,California,ID7,yes,1,N
ID9569,3,8,No,24,109,3,1,1K,25,20-29,Female,2,2010,18,11 to 20,22000,300K+,1,8569,1,10500,Personal,San Diego CA,California,ID21,yes,1,N
ID9570,0,0,No,54,308,5,0,25K,61,60-69,Female,2,2006,10,11 to 20,9000,300K+,0,8570,1,7500,Personal,Los Angeles CA,California,ID19,no,1,N
ID9571,0,0,No,23,109,4,1,1K,38,30-39,Male,1,2010,25,21 to 30,8000,300K+,2,8571,2,3000,Personal,Los Angeles CA,California,ID7,no,1,N
ID9572,5,6,No,27,109,4,1,25K,54,50-59,Female,1,2003,29,21 to 30,8000,300K+,0,8572,1,16000,Personal,San Diego CA,California,ID10,yes,1,N
ID9573,0,0,No,28,109,4,1,25K,52,50-59,Female,0,2003,14,11 to 20,9000,300K+,1,8573,1,2000,Personal,San Diego CA,California,ID7,no,1,N
ID9574,0,0,No,28,109,4,0,1K,33,30-39,Female,1,2009,37,31 to 40,2000,300K+,2,8574,2,3000,Personal,San Diego CA,California,ID7,no,1,N
ID9575,0,0,No,31,109,4,0,1K,23,20-29,Female,2,2010,5,1 to 10,3000,300K+,0,8575,1,2000,Personal,San Diego CA,California,ID10,no,1,N
ID9576,0,0,No,22,109,2,0,10K,43,40-49,Male,2,2012,20,21 to 30,30000,300K+,2,8576,2,3500,Personal,Los Angeles CA,California,ID8,no,1,N
ID9577,6,2,No,28,109,4,1,25K,75,70-79,Male,1,2010,36,31 to 40,1000,300K+,0,8577,1,5000,Personal,San Diego CA,California,ID10,no,1,N
ID9578,0,0,No,23,109,3,0,1K,55,50-59,Female,2,2010,27,21 to 30,9000,300K+,0,8578,1,4500,Personal,Los Angeles CA,California,ID6,no,1,N
ID9579,0,0,No,26,109,2,1,1K,26,20-29,Female,2,2006,20,21 to 30,27000,300K+,3,8579,3,9000,Personal,San Diego CA,California,ID7,no,1,N
ID9580,75,85,No,24,109,4,0,25K,35,30-39,Female,2,2004,31,31 to 40,32000,150K - 300K,4,8580,4,4500,Personal,Los Angeles CA,California,ID20,yes,1,N
ID9581,0,0,No,26,109,1,0,1K,51,50-59,Female,1,2006,28,21 to 30,13000,150K - 300K,1,8581,1,4500,Personal,San Diego CA,California,ID7,no,1,N
ID9582,179,166,No,46,308,3,0,1K,46,40-49,Female,1,2009,50,51 to 60,11000,150K - 300K,3,8582,3,2000,Personal,Los Angeles CA,California,ID19,yes,1,N
ID9583,0,0,No,25,109,4,0,1K,17,0-19,Male,1,2003,2,1 to 10,4000,150K - 300K,1,8583,1,2000,Personal,San Diego CA,California,ID21,no,1,N
ID9584,14,7,No,26,109,3,1,10K,85,80+,Female,1,2006,28,21 to 30,9000,150K - 300K,0,8584,1,9000,Personal,San Diego CA,California,ID19,yes,1,N
ID9585,0,13,No,29,109,3,1,1K,19,0-19,Female,1,2004,24,21 to 30,1000,150K - 300K,0,8585,1,7500,Personal,San Diego CA,California,ID7,yes,1,N
ID9586,148,142,No,25,109,2,0,1K,51,50-59,Female,1,2009,23,21 to 30,5000,Less than 150K,1,8586,1,6000,Personal,Los Angeles CA,California,ID8,yes,1,N
ID9587,0,0,No,48,308,4,0,1K,59,50-59,Male,2,2008,0,0,4000,Less than 150K,0,8587,1,6000,Personal,San Jose CA,California,ID8,no,1,N
ID9588,0,0,No,24,109,4,0,25K,35,30-39,Female,1,2007,18,11 to 20,38000,Less than 150K,2,8588,2,8500,Personal,Los Angeles CA,California,ID12,no,1,N
ID9589,0,0,No,48,308,4,1,1K,36,30-39,Female,2,2006,1,1 to 10,17000,Less than 150K,2,8589,2,3200,Personal,San Jose CA,California,ID18,no,1,N
ID7610,,,Yes,,528,2,1,1K,61,60-69,Female,1,2005,5,1 to 10,9000,Less than 150K,0,6610,1,3500,Personal,Rochester NY,New York,ID11,no,1,N
ID7611,0,0,No,67,473,3,1,1K,65,60-69,Female,1,2010,16,11 to 20,10000,Less than 150K,0,6611,1,500,Personal,Buffalo NY,New York,ID9,no,1,N
ID7612,2,0,No,74,528,3,0,1K,85,80+,Female,1,2008,39,31 to 40,7000,Less than 150K,0,6612,1,12000,Personal,Rochester NY,New York,ID11,no,1,N
ID7613,29,27,No,82,607,2,1,1K,80,80+,Male,1,2009,55,51 to 60,2000,Less than 150K,0,6613,1,7700,Personal,Syracuse NY,New York,ID10,yes,1,N
ID7614,74,71,No,60,473,5,1,25K,42,40-49,Male,2,2012,0,0,4000,300K+,2,6614,2,4500,Small Business,Buffalo NY,New York,ID21,yes,1,N
